ID	SYMBOL	NAME	PRICE	CHANGE_24H%	VOLUME
lombard-staked-btc	lbtc	Lombard Staked BTC	103059	-2.29678	12657684
sky	sky	Sky	0.052471	-4.99388	14993312
liquid-staked-ethereum	lseth	Liquid Staked ETH	3747.64	-2.13124	132557
story-2	ip	Story	3.64	-0.61245	44678623
sei-network	sei	Sei	0.178339	-4.2477	140748376
jupiter-exchange-solana	jup	Jupiter	0.343435	-3.39312	47413370
nexo	nexo	NEXO	1.084	-4.54244	9441198
xdce-crowd-sale	xdc	XDC Network	0.060689	-0.80655	38131608
global-dollar	usdg	Global Dollar	0.999755	-0.0199	24731347
renzo-restaked-eth	ezeth	Renzo Restaked ETH	3676.27	-2.57577	799198
ripple-usd	rlusd	Ripple USD	0.999898	0.04083	119009883
morpho	morpho	Morpho	1.99	-0.39154	24905438
bonk	bonk	Bonk	0.00001269	-4.06027	145646230
aerodrome-finance	aero	Aerodrome Finance	1.15	7.82901	258614843
solv-btc	solvbtc	Solv Protocol BTC	102701	-2.23376	256483
hashnote-usyc	usyc	Circle USYC	1.11	null	3415.62
first-digital-usd	fdusd	First Digital USD	0.996406	-0.05071	1708629626
pudgy-penguins	pengu	Pudgy Penguins	0.0150363	-5.29611	177314183
fetch-ai	fet	Artificial Superintelligence Alliance	0.348817	2.11521	327758217
pancakeswap-token	cake	PancakeSwap	2.6	4.6859	280751393
virtual-protocol	virtual	Virtuals Protocol	1.34	-8.99945	518067228
fasttoken	ftn	Fasttoken	2	10.14829	22193869
immutable-x	imx	Immutable	0.438439	-2.55207	56381466
mantle-staked-ether	meth	Mantle Staked Ether	3733.36	-2.47905	1733424
dash	dash	Dash	67.68	-13.11043	319614812
arbitrum-bridged-wbtc-arbitrum-one	wbtc	Arbitrum Bridged WBTC (Arbitrum One)	102827	-2.4197	150372681
clbtc	clbtc	clBTC	107339	1.38074	3.97
celestia	tia	Celestia	0.97743	-3.0545	112472800
rain	rain	Rain	0.00336042	-0.45038	3210236
optimism	op	Optimism	0.415551	-3.99823	128716751
superstate-short-duration-us-government-securities-fund-ustb	ustb	Superstate Short Duration U.S. Government Securities Fund (USTB)	10.88	0	0
ousg	ousg	OUSG	113.24	0.02041	0
injective-protocol	inj	Injective	7.82	-4.1831	147363134
blockstack	stx	Stacks	0.423955	-1.89689	37916010
jupiter-staked-sol	jupsol	Jupiter Staked SOL	181.72	-4.79019	8704334
lido-dao	ldo	Lido DAO	0.818253	-2.48805	150417348
starknet	strk	Starknet	0.157614	-13.40415	358342410
stakewise-v3-oseth	oseth	StakeWise Staked ETH	3600.62	-2.57081	4173261
curve-dao-token	crv	Curve DAO	0.48421	-0.90873	226834541
the-graph	grt	The Graph	0.065016	-4.10097	29233954
ondo-us-dollar-yield	usdy	Ondo US Dollar Yield	1.095	-1.28405	3888760
cgeth-hashkey-cloud	cgeth.hashkey	cgETH Hashkey Cloud	3284.93	null	10.46
tezos	xtz	Tezos	0.600814	-4.13021	32451699
spx6900	spx	SPX6900	0.680533	-6.06269	26693982
doublezero	2z	DoubleZero	0.182126	-5.74272	19616700
beldex	bdx	Beldex	0.083004	1.88127	9278807
tbtc	tbtc	tBTC	102664	-2.36101	15166492
l2-standard-bridged-weth-base	weth	L2 Standard Bridged WETH (Base)	3459.41	-2.47595	888628003
iota	iota	IOTA	0.147023	-0.04899	16189500
soon-2	soon	SOON	2.12	5.48037	60889694
msol	msol	Marinade Staked SOL	211.32	-4.69426	7121281
pyth-network	pyth	Pyth Network	0.102864	-4.25558	33110109
polygon-pos-bridged-dai-polygon-pos	dai	Polygon PoS Bridged DAI (Polygon POS)	0.999853	0.02507	66940551
floki	floki	FLOKI	0.00006076	-4.55463	63902109
kaia	kaia	Kaia	0.099537	-2.70234	40811488
usdai	usdai	USDai	1.003	-0.07806	4267397
bridged-usdc-polygon-pos-bridge	usdc.e	Polygon Bridged USDC (Polygon PoS)	0.999781	-0.0019	40869440
conflux-token	cfx	Conflux	0.111792	10.36841	176167647
arbitrum-bridged-weth-arbitrum-one	weth	Arbitrum Bridged WETH (Arbitrum One)	3458.06	-2.54898	441217717
ether-fi	ethfi	Ether.fi	0.966208	-2.08554	67419063
ether-fi-liquid-eth	liquideth	Ether.Fi Liquid ETH	3665.32	-2.67391	28374
sonic-3	s	Sonic	0.142652	-5.14303	75323912
usual-usd	usd0	Usual USD	0.998229	0.01207	232766
ethereum-name-service	ens	Ethereum Name Service	14.17	-1.44448	78959345
stader-ethx	ethx	Stader ETHx	3712.39	-2.48881	134592
gteth	gteth	GTETH	3438.71	-3.04319	601338
the-sandbox	sand	The Sandbox	0.200914	-2.38808	53403567
plasma	xpl	Plasma	0.278346	-13.63569	208310214
decred	dcr	Decred	30.59	-2.44785	21218993
trust-wallet-token	twt	Trust Wallet	1.25	-2.68686	29894980
mantle-bridged-usdt-mantle	usdt	Mantle Bridged USDT (Mantle)	0.996787	-0.24425	1449256
syrup	syrup	Maple Finance	0.445873	-4.57427	35682733
true-usd	tusd	TrueUSD	0.998375	0.02216	16467313
bitcoin-cash-sv	bsv	Bitcoin SV	24.41	-3.26086	14309077
newton-project	ab	AB	0.00562293	1.8465	12201895
ether-fi-staked-eth	eeth	ether.fi Staked ETH	3453.97	-2.47299	21772
dogwifcoin	wif	dogwifhat	0.472561	-3.21688	141642194
myx-finance	myx	MYX Finance	2.46	-5.26164	34745424
theta-token	theta	Theta Network	0.469752	-1.71954	20264074
gala	gala	GALA	0.0100928	-3.00231	74538541
bittorrent	btt	BitTorrent	4.74008e-7	-0.65377	12245488
coinbase-wrapped-staked-eth	cbeth	Coinbase Wrapped Staked ETH	3808.1	-2.38551	9996483
steakhouse-usdc-morpho-vault	steakusdc	Steakhouse USDC Morpho Vault	1.11	0.00295	0
sweth	sweth	Swell Ethereum	3787.07	-2.08846	230122
pendle	pendle	Pendle	2.73	-3.61564	72084406
vaulta	a	Vaulta	0.283963	-2.61939	47252052
flow	flow	Flow	0.280971	-0.0583	14452580
jasmycoin	jasmy	JasmyCoin	0.00940035	-4.37859	36634313
binance-peg-dogecoin	doge	Binance-Peg Dogecoin	0.174167	-2.71237	4594779
sbtc-2	sbtc	sBTC	101410	-3.86973	111113
benqi-liquid-staked-avax	savax	BENQI Liquid Staked AVAX	21.34	-3.74721	1543472
helium	hnt	Helium	2.36	-5.04669	7430807
decentraland	mana	Decentraland	0.228708	-1.78818	28883377
gho	gho	GHO	0.999292	-0.00018	12241031
ark-3	ark	ARK	40.85	1.04159	13103937
bitcoin-avalanche-bridged-btc-b	btc.b	Avalanche Bridged BTC (Avalanche)	103003	-2.4712	59396318
sun-token	sun	Sun Token	0.02248234	-0.0316	18944032
eutbl	eutbl	Spiko EU T-Bills Money Market Fund	1.21	0.27938	0
raydium	ray	Raydium	1.53	-1.53229	98516821
usdb	usdb	USDB	0.995081	-0.59634	1015981
wrapped-hype	whype	Wrapped HYPE	39.34	-5.24756	160619600
usdd	usdd	USDD	0.999678	-0.00282	13615706
apenft	nft	AINFT	4.02924e-7	0.12699	35584115
ribbita-by-virtuals	tibbir	Ribbita by Virtuals	0.394714	13.27977	18857520
merlin-chain	merl	Merlin Chain	0.372832	7.18399	30470509
concordium	ccd	Concordium	0.03281856	-1.57084	1228293
arbitrum-bridged-wrapped-eeth	weeth	Arbitrum Bridged Wrapped eETH (Arbitrum)	3728.95	-2.32865	857444
mimblewimblecoin	mwc	MimbleWimbleCoin	34.69	-0.40738	148352
zksync	zk	ZKsync	0.05197	-10.77536	103304024
polygon-pos-bridged-weth-polygon-pos	weth	Polygon PoS Bridged WETH (Polygon POS)	3459.61	-2.46108	16640311
neo	neo	NEO	5.26	-0.69278	22834789
just	jst	JUST	0.0368981	-0.19474	24795450
astherus-staked-bnb	asbnb	Aster Staked BNB	1023.47	-1.72044	124223
aethir	ath	Aethir	0.02518855	-2.04314	23065230
dexe	dexe	DeXe	6.26	-0.91779	5270570
apecoin	ape	ApeCoin	0.38602	-1.40844	33610116
frax-ether	frxeth	Frax Ether	3406.28	-2.45562	2626624
eigenlayer	eigen	EigenCloud (prev. EigenLayer)	0.79477	-3.601	67503709
zebec-network	zbcn	Zebec Network	0.00364273	6.49096	17630937
mantle-restaked-eth	cmeth	Mantle Restaked ETH	3728.27	-2.40101	8301504
olympus	ohm	Olympus	20.85	-2.17477	520741
walrus-2	wal	Walrus	0.223922	0.02144	23749169
unit-bitcoin	ubtc	Unit Bitcoin	103198	-2.24632	107842243
swissborg	borg	SwissBorg	0.341372	-2.01103	765370
chiliz	chz	Chiliz	0.03323715	-3.14535	24599421
ape-and-pepe	apepe	Ape and Pepe	0.00000157	6.28788	23891722
kinetiq-earn-vault	vkhype	Kinetiq Earn Vault	39.78	-5.15629	302735
arweave	ar	Arweave	4.99	-9.71954	91647650
vision-3	vsn	Vision	0.095823	-4.09404	598706
gnosis	gno	Gnosis	122.4	-2.06349	6473274
basic-attention-token	bat	Basic Attention	0.215664	-5.58002	41747847
humanity	h	Humanity	0.177222	5.41903	27187658
compound-governance-token	comp	Compound	33.34	-2.12353	22732209
axycoin	axyc	AxyCoin	1.58	11.37703	83351
kinesis-gold	kau	Kinesis Gold	132.25	0.2193	29545148
origintrail	trac	OriginTrail	0.629216	-6.74556	3954508
binance-peg-busd	busd	Binance-Peg BUSD	0.998307	-0.33616	5215081
wormhole	w	Wormhole	0.063288	-5.0099	38237001
instadapp	fluid	Fluid	3.99	-1.61334	15831189
fartcoin	fartcoin	Fartcoin	0.310365	-6.31969	113672078
falcon-finance-ff	ff	Falcon Finance	0.132253	-6.28189	51958013
ethena-staked-ena	sena	Ethena Staked ENA	0.31688	-3.78618	1033135
satoshi-stablecoin	satusd	Satoshi Stablecoin	0.995315	-0.15662	504186
euro-coin	eurc	EURC	1.16	0.31631	23639954
jito-governance-token	jto	Jito	0.729042	-7.49942	46281021
telcoin	tel	Telcoin	0.00307766	-6.688	1555694
1inch	1inch	1INCH	0.208323	0.14425	39657803
ecash	xec	eCash	0.00001455	-2.2743	7128083
zero-gravity	0g	0G	1.36	-9.59849	48735627
mocaverse	moca	Moca Network	0.04046011	-2.08129	8245535
frax	frax	Legacy Frax Dollar	0.994715	0.01462	3391017
reserve-protocol-eth-plus	eth+	ETHPlus	3651.34	-2.55127	936265
treehouse-eth	teth	Treehouse ETH	4224.51	-2.48625	314260
wrapped-ether-mantle-bridge	weth	Mantle Bridged WETH (Mantle)	3455.54	-2.44846	3968007
crvusd	crvusd	crvUSD	1	-0.07965	28607248
usx	usx	USX	1.001	0.02002	7820076
elrond-erd-2	egld	MultiversX	9.61	-3.48298	14797399
thorchain	rune	THORChain	0.782485	-4.61049	42232982
lorenzo-wrapped-bitcoin	enzobtc	Lorenzo Wrapped Bitcoin	110649	-0.53341	3.14
havven	snx	Synthetix	0.796645	-6.0135	47583085
drift-staked-sol	dsol	Drift Staked SOL	182.98	-4.57373	97241
reserve-rights-token	rsr	Reserve Rights	0.00443048	-4.00544	22317305
zora	zora	Zora	0.060338	-2.13742	52525678
loaded-lions	lion	Loaded Lions	0.00879754	-3.89505	930447
solv-protocol-solvbtc-bbn	xsolvbtc	Solv Protocol Staked BTC	102988	-1.00116	42113
polygon-bridged-wbtc-polygon-pos	wbtc	Polygon Bridged WBTC (Polygon POS)	102998	-2.4755	7129389
dydx-chain	dydx	dYdX	0.318274	-4.21391	21681523
wemix-token	wemix	WEMIX	0.556607	-1.22375	4509415
livepeer	lpt	Livepeer	5.36	3.12313	37353573
chain-2	xcn	Onyxcoin	0.00684478	-0.66281	14653417
savings-dai	sdai	Savings Dai	1.17	-0.09077	101093
undeads-games	uds	Undeads Games	2.38	0.63352	1691273
cheems-token	cheems	Cheems Token	0.00000119	-2.37996	1397183
staked-frax-ether	sfrxeth	Staked Frax Ether	3886.27	-2.46485	251505
bybit-staked-sol	bbsol	Bybit Staked SOL	176.71	-4.94264	1836590
zano	zano	Zano	15.96	2.59025	2133795
ibc-bridged-usdc	usdc.n	Noble USDC	0.984516	-3.23134	2423232
atomone	atone	AtomOne	1.91	-0.2419	129846
fidelity-digital-interest-token	fdit	Fidelity Digital Interest Token	1	0	0
resolv-usr	usr	Resolv USR	1	0.07772	4395827
compound-wrapped-btc	cwbtc	cWBTC	2068.44	-2.50165	0
zencash	zen	Horizen	13.17	-3.17104	149196777
axie-infinity	axs	Axie Infinity	1.38	-3.96371	30080274
golem	glm	Golem	0.225518	-0.0579	48061984
amp-token	amp	Amp	0.00265929	4.10926	24543819
based-brett	brett	Brett	0.02265254	-7.31263	26389079
blockchain-capital	bcap	Blockchain Capital	24.62	-3.52665	0
wrapped-avax	wavax	Wrapped AVAX	17.32	-3.57604	280407932
beam-2	beam	Beam	0.00434235	-4.61924	9152048
coredaoorg	core	Core	0.218711	1.82117	26442387
usda-2	usda	USDa	0.993474	0.07388	251.89
openeden-open-dollar	usdo	OpenEden OpenDollar	0.999567	0.00012	3098.84
railgun	rail	Railgun	3.78	-10.58046	3761993
berachain-bera	bera	Berachain	1.62	-5.34974	26922676
toshi	toshi	Toshi	0.00050676	-3.92101	19852067
creditcoin-2	ctc	Creditcoin	0.415678	-2.45	9339810
aioz-network	aioz	AIOZ Network	0.170723	1.56383	19065723
kaito	kaito	KAITO	0.849411	-4.16858	13971709
ronin	ron	Ronin	0.283814	-5.10429	4610881
qtum	qtum	Qtum	1.93	-0.02876	21157012
meteora	met	Meteora	0.423906	16.16567	117152628
btse-token	btse	BTSE Token	1.25	1.91199	2322265
midas-msyrupusdp	msyrupusdp	Midas msyrupUSDp	1.011	0	0
kusama	ksm	Kusama	11.6	-5.52915	16575575
mx-token	mx	MX	2.17	-0.94735	24119962
linea	linea	Linea	0.01263434	-0.90855	82887247
reallink	real	RealLink	0.066518	-4.54931	21590492
ai-companions	aic	AI Companions	0.198238	6.03203	4387700
compounding-open-dollar	cusdo	Compounding OpenDollar	1.033	0.17779	1468993
terra-luna	lunc	Terra Luna Classic	0.00003596	-3.44231	11263339
kamino	kmno	Kamino	0.061322	-1.90557	18801075
nano	xno	Nano	1.55	29.29311	18155465
superfarm	super	SuperVerse	0.307253	-4.07614	10369132
resolv-wstusr	wstusr	Resolv wstUSR	1.12	0.03947	1646992
cap-usd	cusd	Cap USD	1.001	-0.09023	78485
universal-btc	unibtc	Universal BTC	102471	-2.44968	198193
legacy-token	lgct	Legacy Token	1.8	-0.16272	4640066
kraken-wrapped-btc	kbtc	Kraken Wrapped BTC	102910	-2.34643	350335
tradable-na-rent-financing-platform-sstn	pc0000031	Tradable NA Rent Financing Platform SSTN	1	0	0
aia	aia	DeAgentAI	1.92	-27.8333	40640767
kinesis-silver	kag	Kinesis Silver	50.87	0.90213	507397
standx-dusd	dusd	StandX DUSD	0.99659	-0.27739	20466274
sahara-ai	sahara	Sahara AI	0.078573	-0.2484	19381321
sosovalue	soso	SoSoValue	0.676143	-6.34763	10046358
useless-3	useless	Useless Coin	0.18409	-12.79035	42990378
lombard-protocol	bard	Lombard	0.812974	2.44111	25533705
akash-network	akt	Akash Network	0.650159	-5.02453	7369314
eos	eos	EOS	0.284425	-2.6173	427304
ecoreal-estate	ecoreal	Ecoreal Estate	0.319918	2.65368	499121
meta-2-2	meta	MetaDAO	8.12	35.53247	8813768
mina-protocol	mina	Mina Protocol	0.143234	-10.95735	33712191
cronos-bridged-usdc-cronos	usdc	Cronos Bridged USDC (Cronos)	0.995894	-0.37826	1327586
sky-coin	xso	Sky Coin	0.0001778	null	9.29
chainopera-ai	coai	ChainOpera AI	0.899165	-16.1114	41514301
axelar	axl	Axelar	0.16401	-2.71248	9281685
safepal	sfp	SafePal	0.350301	-2.92917	3081285
layerzero	zro	LayerZero	1.57	-3.37643	50212932
binance-peg-sol	sol	Binance-Peg SOL	158.1	-5.03231	5934574
0x	zrx	0x Protocol	0.204446	-4.08852	21014405
four	form	Four	0.45659	-0.36086	22400531
slash-vision-labs	svl	Slash Vision Labs	0.03519101	-2.7853	618884
arkham	arkm	Arkham	0.332687	-4.0644	39626947
convex-finance	cvx	Convex Finance	2.09	1.43772	27834014
origin-ether	oeth	Origin Ether	3453.79	-2.56137	865525
dog-go-to-the-moon-rune	dog	Dog (Bitcoin)	0.00170031	-0.10851	6627743
bitmart-token	bmx	BitMart	0.499306	-0.45911	5843066
movement	move	Movement	0.060384	-6.14356	33713254
prometeus	prom	Prom	9.27	1.97616	2706140
rekt-4	rekt	Rekt	4.00583e-7	-4.95986	1810808
deep	deep	DeepBook	0.067142	-2.79931	18629970
astherus-usdf	usdf	Aster USDF	0.999364	0.09742	592345
theta-fuel	tfuel	Theta Fuel	0.02312913	-1.49018	1901508
bianrensheng	币安人生	币安人生 (BinanceLife)	0.164744	-4.88138	12393071
gas	gas	Gas	2.51	1.34236	10578269
yearn-finance	yfi	yearn.finance	4831.85	-1.60354	18471489
digibyte	dgb	DigiByte	0.00899392	-5.37264	10194054
kava	kava	Kava	0.149445	-7.13309	21288025
ravencoin	rvn	Ravencoin	0.01021692	-2.10046	10946426
bnb48-club-token	koge	KOGE	47.91	-0.15758	385951799
keeta	kta	Keeta	0.366674	-9.32372	5484776
nxm	nxm	Nexus Mutual	82.39	-3.64279	0
giggle-fund	giggle	Giggle Fund	159.06	2.56668	155801719
nervos-network	ckb	Nervos Network	0.00330379	-1.52127	10367974
tokenize-xchange	tkx	Tokenize Xchange	1.94	-1.71413	4042.34
midas-mf-one	mf-one	Midas mF-ONE	1.053	0.09925	0
build-on	b	BUILDon	0.154591	1.64359	11085792
infinifi-usd	iusd	InfiniFi USD	1	0.0212	6430.89
oasis-network	rose	Oasis	0.02056087	-7.36475	13727979
popcat	popcat	Popcat	0.155758	5.80687	44099570
aleo	aleo	ALEO	0.237064	0.87146	5854304
shuffle-2	shfl	Shuffle	0.437444	-2.54321	499249
uchain-2	ucn	UCHAIN	1509.67	0.67405	9537335
zilliqa	zil	Zilliqa	0.00770092	-1.4385	26928008
bridged-usd-coin-starkgate	usdc	StarkGate Bridged USDC (Starknet)	0.999797	-0.00569	18262039
phantom-staked-sol	psol	Phantom Staked SOL	164.59	-4.89382	677580
gusd	gusd	GUSD	0.999652	0.00249	9327451
snek	snek	Snek	0.00200381	-6.08348	3983932
ether-fi-staked-btc	ebtc	Ether.fi Staked BTC	102874	-2.6432	397299
plume	plume	Plume	0.04754449	-10.07672	21852945
polygon-bridged-weeth-katana	weeth	Polygon Bridged weETH (Katana)	3756.37	-2.09894	1307822
susdai	susdai	Staked USDai	1.047	0.07557	326234
conscious-token	conscious	Conscious Token	0.317115	-1.94056	1707441
non-playable-coin	npc	Non-Playable Coin	0.01805388	-7.61579	13839218
gmt-token	gomining	GoMining Token	0.36046	-0.34936	10411354
baby-doge-coin	babydoge	Baby Doge Coin	8.43001e-10	-3.10628	6971013
super-oeth	superoeth	Super OETH	3457.84	-2.42864	46744
flare-bridged-xrp-flare	fxrp	Flare Bridged XRP (Flare)	2.42	-5.0061	2925100
grass	grass	Grass	0.323781	-7.93821	19690124
river	river	River	7.35	3.73607	20513034
saros-finance	saros	Saros	0.054673	-2.72143	3963469
kite-2	kite	Kite	0.079598	-6.32982	201866916
stasis-eurs	eurs	STASIS EURO	1.15	0.76243	115869
spiko-us-t-bills-money-market-fund	ustbl	Spiko US T-Bills Money Market Fund	1.064	0	0
cat-in-a-dogs-world	mew	cat in a dogs world	0.00159155	-3.59389	22733201
mag7-ssi	mag7.ssi	MAG7.ssi	0.841077	-2.18677	1688895
turbo	turbo	Turbo	0.0020533	-4.83603	15529745
mog-coin	mog	Mog Coin	3.61202e-7	-4.95654	10917647
minidoge-5	minidoge	Minidoge	2.01097e-7	-2.12603	3841513
ultima	ultima	Ultima	3565.8	0.15987	13363853
celo	celo	Celo	0.238377	-2.96004	17746803
unit-pump	upump	Unit Pump	0.00437716	0.12864	9525858
safe	safe	Safe	0.211055	0.81214	8289087
pirate-chain	arrr	Pirate Chain	0.715463	-8.88549	752371
wrapped-aave-ethereum-usdc	waethusdc	Wrapped Aave Ethereum USDC	1.15	0.00865	2494104
bio-protocol	bio	Bio Protocol	0.077857	-5.52344	64964689
ore	ore	Ore	330.18	-19.71041	31534621
agora-dollar	ausd	AUSD	0.999472	-0.03443	25629804
threshold-network-token	t	Threshold Network	0.01259622	-1.69147	7033526
yieldfi-ytoken	yusd	YieldFi yToken	1.13	0.03141	20453
theo-short-duration-us-treasury-fund	thbill	Theo Short Duration US Treasury Fund	1.01	-0.07103	2272557
venom	venom	Venom	0.064148	-1.1748	172944
stargate-finance	stg	Stargate Finance	0.138887	-2.86923	6224088
avantis	avnt	Avantis	0.522113	-2.8365	48786913
agentfun-ai	agentfun	AgentFun.AI	1.34	-3.97338	1515.73
drift-protocol	drift	Drift Protocol	0.344816	-4.75468	17615855
crypto-com-staked-eth	cdceth	Crypto.com Staked ETH	3661.4	-2.46662	385979
bedrock-btc	brbtc	Bedrock BTC	116166	0	0
recall	recall	Recall	0.201366	-2.32467	97173219
infrared-bera	ibera	Infrared Bera	1.66	-4.72791	254382
wefi	wfi	WeFi	1.77	-2.51775	2479539
astar	astr	Astar	0.01568303	0.43115	10870620
apollo-diversified-credit-securitize-fund	acred	Apollo Diversified Credit Securitize Fund	1066.9	0.04858	0
stp-network	awe	AWE Network	0.065658	-0.81504	5007698
coinex-token	cet	CoinEx	0.04924647	-1.04188	138855
qubic-network	qubic	Qubic	0.000001	-1.15314	3297167
chia	xch	Chia	8.61	-4.03283	6535005
velo	velo	Velo	0.00715368	-0.84019	18223589
